type,value,n
designer,Mark E. Searle,2
designer,Mark Goadrich,2
designer,Mark Mokszycki,2
designer,Mark Rivera,2
designer,Mark Sellmeyer,2
designer,Mark Setteducati,2
designer,Mark Steere,2
designer,Martin Ebel,2
designer,Martine Redman,2
designer,Martino Chiacchiera,2
designer,Marvin Lamb,2
designer,Mat Brinkman,2
designer,Mateusz Albricht,2
designer,Mateusz Pronobis,2
designer,Mathieu Lanvin,2
designer,Matt Anderson,2
designer,Matt Loomis,2
designer,Matt Mette,2
designer,Matt Tolman,2
designer,Matt Wolfe,2
designer,Matt Worden,2
designer,Matthew Duhan,2
designer,Matthew Grau,2
designer,Matthew Inman,2
designer,Matthew Nuccio,2
designer,Matthew Papa,2
designer,Matthias Prinz,2
designer,Mauricio Miyaji,2
designer,Mauricio V. Gibrin,2
designer,Max Holliday,2
designer,Max Michael,2
designer,Max Seidman,2
designer,Max Wikström,2
designer,Maxim Istomin,2
designer,Michael Adams,2
designer,Michael Andersch,2
designer,Michael D. Kelley,2
designer,Michael Ferch,2
designer,Michael Ferris,2
designer,Michael Fox (II),2
designer,Michael Greiss,2
designer,Michael Keller (II),2
designer,Michael Larson,2
designer,Michael Menzel,2
designer,Michael Nickoloff,2
designer,Michael Nietzer,2
designer,Michael R. Keller,2
designer,Michael Resch,2
designer,Michael Shinall,2
designer,Michael Sohre,2
designer,Michael Wasson,2
designer,Michael Welker,2
designer,Michal Rakowski,2
designer,Michał Ozon,2
designer,Michelle Schanen,2
designer,Mihály Vincze,2
designer,Mike Belles,2
designer,Mike Carr,2
designer,Mike Davis,2
designer,Mike Hayes,2
designer,Mike Hutton,2
designer,Mike Markowitz,2
designer,Mike Nielsen,2
designer,Mike Nudd,2
designer,Mike Nystul,2
designer,Mike Reynolds,2
designer,Mikko Koivusalo,2
designer,Monte Lin,2
designer,Morten Andersen,2
designer,Murat Célébi,2
designer,Myles Christensen,2
designer,Nate Heiss,2
designer,Nathaniel Levan,2
designer,Neal Schlaffer,2
designer,Nick Bentley,2
designer,Nick Kellet,2
designer,Nicolas Normandon,2
designer,Nicolas Pilartz,2
designer,Nicolas Poncin,2
designer,Nicolas Sato,2
designer,Nigel Buckle,2
designer,Nigel Roberts,2
designer,Nigel Stillman,2
designer,Nikki Lim,2
designer,Nikolas Sakaloglou,2
designer,Norman Woods,2
designer,Odet L'Homer,2
designer,Olaf Helmer,2
designer,Oliver Abendroth,2
designer,Oliver Wolf,2
designer,Oriol Comas i Coma,2
designer,Owen Seyler,2
designer,Paolo Del Rio,2
designer,Patrick Otley,2
designer,Paul Kohner,2
designer,Paul Laane,2
designer,Paul Randles,2
designer,Paul Toyne,2
designer,Paul Wise,2
designer,Pepe Pineda,2
designer,Perry Moore,2
designer,Pesu Nabeno,2
designer,Peter Hansell,2
designer,Peter Jones (I),2
designer,Peter Pfeifer,2
designer,Phil Foglio,2
designer,Philip O'Neill,2
designer,Philip Sabin,2
designer,Philippe Thibaut,2
designer,Pierre Cléquin,2
designer,Pål Keller Carlquist,2
designer,R. E. Falco,2
designer,R. S. Erickson,2
designer,Rainer Kroehn,2
designer,Ralph Anspach,2
designer,Ran Ackels,2
designer,Randy Heller,2
designer,Randy Thompson,2
designer,Ray Eifler,2
designer,Ray Long,2
designer,Ray Mulford,2
designer,Rebekah Bissell,2
designer,Remo Conzadori,2
designer,Rena Nathanson,2
designer,Renato Silva Sasdelli,2
designer,Renaud Verlaque,2
designer,Richard Brady,2
designer,Richard Clarke,2
designer,Richard Denning,2
designer,Richard Fast,2
designer,Richard Winter,2
designer,Richard Wright,2
designer,Richard de Rijk,2
designer,Rick Fish,2
designer,Rick Holzgrafe,2
designer,Rick Loomis,2
designer,Rob Bartel,2
designer,Robb De Nicola,2
designer,Robby Carpenter,2
designer,Robert Bonde Jensen,2
designer,Robert Fuhrer,2
designer,Robert Harris,2
designer,Robert J. Kuntz,2
designer,Robert Johannessen,2
designer,Robert K. Gabhart,2
designer,Robert L. Sassone,2
designer,Robert M. Carroll,2
designer,Robert Sun,2
designer,Robert Taylor,2
designer,Rodger B. MacGowan,2
designer,Roger Damon,2
designer,Roman Mathar,2
designer,Romaric Galonnier,2
designer,Ron Draker,2
designer,Ron Dubren,2
designer,Ron Gibson,2
designer,Ronald Wettering,2
designer,Rouben Terzian,2
designer,Roy Wilcox,2
designer,Ryan Amos,2
designer,S. Spencer,2
designer,Saashi,2
designer,Sami Laakso,2
designer,Sandeep Kharkar,2
designer,Sandra Bergeson,2
designer,Sara Finch,2
designer,Scot Hunt,2
designer,Scott Caputo,2
designer,Scott Nicholson,2
designer,Scott Smith (I),2
designer,Sean MacDonald,2
designer,Sean McGuire,2
designer,Sebastian Koziner,2
designer,Sebastian Resl,2
designer,Sebastiano Fiorillo,2
designer,Shane Lacy Hensley,2
designer,Shane Steely,2
designer,Shane Willis,2
designer,Shaun Derrick,2
designer,Shawn Carpenter,2
designer,Sheamus Parkes,2
designer,Sheila Santos,2
designer,Shun,2
designer,Silvio Negri-Clementi,2
designer,Simon Hall,2
designer,Simon Hunt,2
designer,Simon McGregor,2
designer,Stacey Merrill,2
designer,Stefan Malz,2
designer,Stephen Avery,2
designer,Stephen G. Wilcox,2
designer,Stephen Newberg,2
designer,Stephen Sauer,2
designer,Sterling S. Hart,2
designer,Steve Barnes (I),2
designer,Steve Dixon,2
designer,Steve Gross,2
designer,Steve Hart,2
designer,Steve Kingsbury,2
designer,Steve Kosakowski,2
designer,Steve Marsh,2
designer,Steve Newhouse,2
designer,Steve Wieck,2
designer,Steven Poelzing,2
designer,Sue Laflin Barker,2
designer,Susanne Armbruster,2
designer,T. O'Neill,2
designer,Takashi Sakaue,2
designer,Tamara Jannink,2
designer,Tero Moliis,2
designer,Terry Shaw,2
designer,Terry Simo,2
designer,Theodore Aitken,2
designer,Thibaut Quintens,2
designer,Thomas Daum,2
designer,Thomas F. Erickson,2
designer,Thomas H. Jung,2
designer,Thomas Klausner,2
designer,Thomas Liesching,2
designer,Thomas M. Divoll,2
designer,Thomas M. Gofton,2
designer,Thomas M. Kane,2
designer,Thomas McGuire,2
designer,Thomas Pauli,2
designer,Thomas Pouchin,2
designer,Thomas Rabideau,2
designer,Thomas Sing,2
designer,Thomas Vande Ginste,2
designer,Théo Rivière,2
designer,Tim Roediger,2
designer,Timothy B. Brown,2
designer,Tina Christensen,2
designer,Tom McMurchie,2
designer,Tom Russell,2
designer,Tom Trunzo,2
designer,Tom Wylie,2
designer,Tomasz Ginter,2
designer,Toni Serradesanferm,2
designer,Tonton Z,2
designer,Tony Cimino,2
designer,Tony Merridy,2
designer,Tony Richardson,2
designer,Tony Valle,2
designer,Torsten Marold,2
designer,Tory Niemann,2
designer,Tray Green,2
designer,Trevor Cram,2
designer,Troels Vastrup,2
designer,Troy Denning,2
designer,Tsai Huei-Chiang,2
designer,Tushar Gheewala,2
designer,Tzvika Harpaz,2
designer,Ulrich Blum,2
designer,Ulrich Weyel,2
designer,Valentin Herman,2
designer,Viola Kijowska,2
designer,Violetta Leitner,2
designer,W. G. Armintrout,2
designer,Walter E. Johnston,2
designer,Walter Schneider,2
designer,Walter Schranz,2
designer,Warren Spector,2
designer,Werner Scheerer,2
designer,Werner Schlegel,2
designer,Wes Erni,2
designer,Westley Ciaramella,2
designer,Wil Dijkstra,2
designer,Wilfried Fort,2
designer,William Grosselin,2
designer,William Sininger,2
designer,William Stephenson,2
designer,William V. Niebling,2
designer,Wm. John Wheeler,2
designer,Wolf Hoermann,2
designer,Wolf Plancke,2
designer,Wolfgang Ditt,2
designer,Wolfgang Lüdtke,2
designer,Wolfgang Sentker,2
designer,Yeon-Min Jung,2
designer,Yoann Levet,2
designer,Yohan Lemonnier,2
designer,Yuri Zhuravlev,2
designer,Yury Yamshchikov,2
designer,Yves Fagherazzi,2
designer,Zach Gage,2
designer,Zbyněk Vrána,2
designer,team SAIEN,2
designer,佐藤 雄介 (Yusuke Sato),2
expansion, 167-160 B.C.,2
expansion, 215 B.C,2
expansion, 218-203 B.C.,2
expansion, 221 B.C.,2
expansion, 225 B.C.,2
expansion, 278-275 B.C.,2
expansion," 3rd Para Brigade – ""Red Devils""",2
expansion, 490 B.C.,2
expansion, A Car Wars Supplement,2
expansion, An Assault Series Module,2
expansion, Antebellum Louisiana & Four Corners,2
expansion, Axis & Allies Variant,2
expansion, Battle,2
expansion, December 1944,2
expansion, Diver and Confusion Promo Cards,2
expansion, Division 5 Vehicle Guide,2
expansion, Food or Guns,2
expansion, January 1944-February 1945,2
expansion, King & Robber,2
expansion, Last of the Shadow Kings XXL Enemy,2
expansion," Luftwaffe – ""Rolf Samt""",2
expansion, New Hampshire & Central New England,2
expansion, No. 3,2
expansion, South Carolina & Oklahoma Land Rush,2
expansion, the Cheater,2
expansion,+6 Bag O' Munchkin Legends,2
expansion,+6 Bag O' Munchkin Zombies,2
expansion,000,2
expansion,000 Cities of Death,2
expansion,000: The Battle Rages On,2
expansion,100 Swords: Kick Sword,2
expansion,100 Swords: Starter Sword,2
expansion,100 Swords: The Chroma Dragon's Dungeon Builder Set,2
expansion,100 Swords: The Darkness Dungeon Builder Set,2
expansion,100 Swords: The Gardenin' Elm's Dungeon Builder Set,2
expansion,100 Swords: The Glowing Plasmapede's Dungeon Builder Set,2
expansion,100 Swords: The Great Garuda's Dungeon Builder Set,2
expansion,100 Swords: The Heads of the Hydra Dungeon Builder Set,2
expansion,100 Swords: The Hive Empress's Dungeon Builder Set,2
expansion,100 Swords: The Magic Computer's Dungeon Builder Set,2
expansion,100 Swords: The Multi-User Dungeon Expansion,2
expansion,1825 Extension Kit K2: Advanced Trains,2
expansion,1829 Conversion Kit,2
expansion,A Call To Arms: Star Fleet – Federation Fleet Box,2
expansion,A Call To Arms: Star Fleet – Klingon Fleet Box,2
expansion,A Call To Arms: Star Fleet – Kzinti Fleet Box,2
expansion,A Call To Arms: Star Fleet – Romulan Fleet Box,2
expansion,ATS TT: Hill of Blood – Mamayev Kurgan,2
expansion,ATS TT: Kharkov – Battle for the Square,2
expansion,Advanced Squad Leader Starter Kit Scenario Design Contest,2
expansion,Adventure Class Ships Vol. 1,2
expansion,Adventure Class Ships Vol. 2,2
expansion,Age of Steam Expansion: 1830's Pennsylvania / Northern California,2
expansion,Age of Steam Expansion: 1867 Georgia Reconstruction,2
expansion,Age of Steam Expansion: African Diamond Mines & Taiwan Cube Factories,2
expansion,Age of Steam Expansion: Alabama Railways,2
expansion,Age of Steam Expansion: Amazon Rainforest & Sahara Desert,2
expansion,Age of Steam Expansion: America / Europe,2
expansion,Age of Steam Expansion: Atlantis & Trisland,2
expansion,Age of Steam Expansion: Australia & Tasmania,2
expansion,Age of Steam Expansion: Barbados / St. Lucia,2
expansion,Age of Steam Expansion: Bay Area,2
expansion,Age of Steam Expansion: Beer & Pretzels,2
expansion,Age of Steam Expansion: California Gold Rush & Underground Railroad,2
expansion,Age of Steam Expansion: Disco Inferno / Soul Train,2
expansion,Age of Steam Expansion: Jamaica / Puerto Rico,2
expansion,Age of Steam Expansion: Mississippi Steamboats / Golden Spike,2
expansion,Age of Steam Expansion: Orient Express & Disoriented Express,2
expansion,Age of Steam Expansion: Outer Space & Reversteam,2
expansion,Age of Steam Expansion: Portugal,2
expansion,Age of Steam Expansion: Secret Blueprints of Steam Plans 1 & 2,2
expansion,Age of Steam Expansion: Sharing,2
expansion,Age of Steam Expansion: Special 2008 Spiel Limited Edition – Essen Spiel & Secret Blueprints of Steam Plan #3,2
expansion,Age of Steam Expansion: Vermont,2
expansion,Agricola L-Deck,2
expansion,Alhambra: Medina Buildings,2
expansion,Alhambra: The Magical Buildings,2
expansion,Alhambra: The Thief's Turn,2
expansion,Alhambra: The Treasure Chamber,2
expansion,Among the Stars: Consulting Firm,2
expansion,Animal Farm,2
expansion,Antarctica (fan expansion to Ticket to Ride),2
expansion,Apex TDBG: Exotic Predators Add-On – Quetzalcoatlus & Sarcosuchus Expansion Cards,2
expansion,Armies of the Imperium,2
expansion,Arnhem: Defiant Stand & Scottish Corridor Gamers Guide,2
expansion,Ascension: Darkness Unleashed – Covetous Kraken Promo Card,2
expansion,Ascension: Rise of Vigil – Mudfin Angler,2
expansion,Ascension: Rise of Vigil – Raving Prophet,2
expansion,Axis Empires Expansion Kit,2
expansion,BANG! A Fistful of Cards,2
expansion,"BANG! Claus ""The Saint""",2
expansion,BANG! Dodge City with High Noon expansion,2
expansion,BANG! Face Off,2
expansion,BANG! High Noon,2
expansion,BANG! High Noon/A Fistful of Cards,2
expansion,BANG! Johnny Kisch,2
expansion,BANG! Uncle Will,2
expansion,BIOS: Origins,2
expansion,Band of Brothers: Battle Manual,2
expansion,Band of Brothers: Battle Pack 1,2
expansion,Band of Brothers: Texas Arrows,2
expansion,Barbarian: SPQR Module,2
expansion,Battle of the Bands: Backstage Pass,2
expansion,BattleCON: Armory,2
expansion,BattleCON: Bridj Promo Guest Character,2
expansion,BattleCON: Devastation of Indines Extended Edition,2
expansion,BattleCON: Iris Promo Guest Character,2
expansion,BattleCON: Legacy Promo Guest Character,2
expansion,BattleCON: Light & Shadow,2
expansion,BattleCON: Mark.PTO Promo Guest Character,2
expansion,BattleCON: Strikers,2
expansion,BattleTech Technical Readout: 2750,2
expansion,BattleTech Technical Readout: 3050,2
expansion,BattleTech Technical Readout: 3057,2
expansion,BattleTech: 20 Year Update,2
expansion,BattleTech: AeroTech 2,2
expansion,BattleTech: AeroTech 2 Record Sheets,2
expansion,BattleTech: BattleForce – The Galtor Campaign,2
expansion,BattleTech: The Battle for Twycross,2
expansion,BattleTech: The Fourth Succession War Military Atlas Volume 1,2
expansion,BattleTech: The Fourth Succession War Military Atlas Volume 2,2
expansion,BattleTech: The Kell Hounds,2
expansion,BattleTech: Twilight Of The Clans,2
expansion,Battletech: Explorer Corps,2
expansion,Battletech: The Fourth Succession War Scenarios Volume One,2
expansion,Beasty Bar: The Tasmanian Devil,2
expansion,Bisikle: Z-Ball Hi-Grip,2
expansion,Black Box Game Book,2
expansion,Bohnanza: Die Jokerbohnen,2
expansion,Bohnröschen,2
expansion,Boss Monster:  Final Form! Promo Card,2
expansion,Boss Monster: Crash Landing,2
expansion,Boss Monster: Hidden Secrets,2
expansion,Boss Monster: Implements of Destruction,2
expansion,Boss Monster: Klonos Promo Card,2
expansion,Boss Monster: König Croak Promo Card,2
expansion,Boss Monster: Mirrax Promo Card,2
expansion,Boss Monster: Paper & Pixels,2
expansion,Boss Monster: Portable Pack,2
expansion,Boss Monster: Reactor Core,2
expansion,Boss Monster: The Lost Levels,2
expansion,Boss Monster: Tools of Hero-Kind,2
expansion,Bundeswehr:  Nato's Front Line,2
expansion,C3K: Creatures Crossover Cyclades/Kemet,2
expansion,Ca$h 'n Gun$: Uzi,2
expansion,Captain's Log #3,2
expansion,Car Wars Arena Book 1,2
expansion,Caralis: The Battle for Sardinia,2
expansion,Carcassonne: Burgen in Deutschland,2
expansion,Carcassonne: Count,2
expansion,Carcassonne: Die Katharer,2
expansion,Carcassonne: Die Windrosen II,2
expansion,Carcassonne: Halb so wild II,2
expansion,Carcassonne: Mage & Witch,2
expansion,Carcassonne: Science and Magic,2
expansion,Carcassonne: The Gold Mines,2
expansion,Carcassonne: The Plague,2
expansion,Carcassonne: The School,2
expansion,Carcassonne: The Tower,2
expansion,Carson City: The Lawyer / Editor,2
expansion,Chez Cthulhu: Cthulhu Mask Promo Card,2
expansion,Chez Genius: Promokarte Erstsemesterparty,2
expansion,Chieftain,2
expansion,China: AD 850,2
expansion,China: Greece,2
expansion,China: Mars,2
expansion,China: North America,2
expansion,China: Scandinavia,2
expansion,Chrononauts: Carl Sagan's Joint,2
expansion,Chrononauts: Live Woolly Mammoth,2
expansion,Chrononauts: Lost Identities,2
expansion,Chrononauts: Mating Pair of Pterodactyls,2
expansion,Chrononauts: The Gore Years,2
expansion,City of Iron: Clockwork Fortress and Cave Market Promo,2
expansion,City of Iron: Contracts,2
expansion,Classic BattleTech Map Set #7,2
expansion,Classic BattleTech: Technical Readout 3067,2
expansion,Classic Battletech Map Compilation 1,2
expansion,Classic Battletech Map Compilation 2,2
expansion,Codenames: Authors & Games,2
expansion,Codenames: Bonus Pack – Board Gaming (English),2
expansion,Codenames: Bonus Pack – CGE Games,2
expansion,Codex Titanicus,2
expansion,Community's Compendium I (fan expansion for Small World),2
expansion,Council of Verona: Corruption,2
expansion,Critical Hit! - Volume 4,2
expansion,Critical Hit! - Volume 5,2
expansion,Cry Havoc Scenario Book 2,2
expansion,DC Comics Deck-Building Game: Felix Faust promo,2
expansion,DC Comics Deck-Building Game: Kid Flash,2
expansion,DC Comics Deck-Building Game: Martian Manhunter promo,2
expansion,DC Comics Deck-Building Game: Skitter,2
expansion,DC Comics Deck-Building Game: Starfire,2
expansion,DC Comics Dice Masters: Classic Legion of Doom Promo Cards,2
expansion,DC Comics Dice Masters: Teen Titans Promo Cards,2
expansion,Dale of Merchants: Systematic Eurasian Beavers,2
expansion,Darkest Night Promo Pack: From Distant Lands,2
expansion,Darkest Night: Enchanter Promo,2
expansion,Darkest Night: From the Abyss,2
expansion,Darkest Night: In Tales of Old,2
expansion,Darkest Night: Mercenary Promo,2
expansion,Darkest Night: Tinker Promo,2
expansion,Dead of Winter: A Crossroads Game - BGG Crossroads Promo,2
expansion,Dead of Winter: Rich Sommer,2
expansion,Dead of Winter: Rodney Smith,2
expansion,Dead of Winter: Warring Colonies,2
expansion,Death Mesa (fan expansion for BANG!),2
expansion,Death Test,2
expansion,Death Test 2,2
expansion,Desert Rats,2
expansion,Die Legenden von Andor: Dunkle Helden,2
expansion,Dixit Odyssey (expansion),2
expansion,"Dixit: ""Magic bunny"" promo card",2
expansion,"Dixit: ""The Werewolves of Miller's Hollow: The Pact"" Promo Cards",2
expansion,Dixit: Revelations,2
expansion,Dominion: Alchemisten & Reiche Ernte – Mixbox,2
expansion,Dominion: Intrigue (Second Edition),2
expansion,Dominion: Intrigue Update Pack,2
expansion,Dominion: Summon Promo Card,2
expansion,Down in Flames Squadron Pack 2: Bombers,2
expansion,Down in Flames: Operation Leader 1943,2
expansion,Down in Flames: The Netherlands East Indies,2
expansion,Down in Flames: Wingmen Expansion,2
expansion,Dreadball Challenge Cup,2
expansion,Dreadball Xtreme Player Manual,2
expansion,Dungeon Lords: Kickstarter Expansion Pack,2
expansion,Dungeon Twister: 3/4 Players Expansion,2
expansion,Dungeon Twister: Bonus Objects,2
expansion,Dungeon Twister: Dwarf Elf Slayer,2
expansion,Dungeon Twister: Father Christmas,2
expansion,Dungeon Twister: Forest Elf,2
expansion,Dungeon Twister: Room P1,2
expansion,Dungeon Twister: Room P2,2
expansion,Dungeon Twister: The Elusive One,2
expansion,Dungeon Twister: The Merciless One,2
expansion,Dungeon Twister: Traps,2
expansion,Dungeon Twister: Zephyr,2
expansion,"Dust Tactics:  NDAK Mortar Squad – ""Sandstorm""",2
expansion,"Dust Tactics: ""Nightwatch"" Elite Premium",2
expansion,Dust Tactics: Airfield Accessory Pack,2
expansion,Dust Tactics: Allied Fortification – Field Phaser Bunker / Strongpoint,2
expansion,"Dust Tactics: Allies Heavy Support Walker – ""Long Tom II / Mobile HQ / Skysweeper""",2
expansion,"Dust Tactics: Allies Hero Pack – ""Action Jackson / The Priest / Johnny One-Eye""",2
expansion,"Dust Tactics: Assault Rangers Squad – ""BBQ Squad""",2
expansion,"Dust Tactics: Aufklärer Sturmgrenadieren Squad – ""Recon Grenadiers""",2
expansion,"Dust Tactics: Axis Armored Transport – ""Prinzluther / Sturmprinz""",2
expansion,Dust Tactics: Axis Fortification – Heavy Laser Bunker / Strongpoint,2
expansion,"Dust Tactics: Axis Hero Pack – ""Stefan / Totenmeister / Grenadier X""",2
expansion,"Dust Tactics: Axis Übertoten Assault Squad – ""Braineaters""",2
expansion,"Dust Tactics: Blutkreuz Korps Kampfaffen Squad – ""Axis Gorillas""",2
expansion,"Dust Tactics: Blutkreuz Korps Untertoten Squad – ""Axis Zombies""",2
expansion,"Dust Tactics: Blutkreuz Pioneer Squad – ""Sturmaffe""",2
expansion,"Dust Tactics: British Commandos Kill Squad – ""Devil's Own / Legio Patria Nostra""",2
expansion,Dust Tactics: British Paratroops,2
expansion,"Dust Tactics: Building Accessory Pack – ""Warzone Tenement""",2
expansion,"Dust Tactics: Combat Rangers Squad – ""The Gunners""",2
expansion,"Dust Tactics: Dust-48 ""Bergeluther""",2
expansion,"Dust Tactics: Dust-48 ""Recon Mickey""",2
expansion,Dust Tactics: Fallschirm RSO Laserkanone,2
expansion,Dust Tactics: Fallschirm RSO/Flak 3,2
expansion,Dust Tactics: Fallschirm RSO/PAK 40,2
expansion,Dust Tactics: Fallschirmjäger Anti-Aircraft Squad,2
expansion,Dust Tactics: Fallschirmjäger Tank-Hunter Squad,2
expansion,"Dust Tactics: First Sergeant James Murphy – ""Crazy Jimmy""",2
expansion,"Dust Tactics: General Erwin Rommel – ""Desert Fox""",2
expansion,Dust Tactics: Guai-Lo Moloi,2
expansion,"Dust Tactics: Gunnery Sergeant Q 'Mack' MacDonald – ""Machette Mack""",2
expansion,"Dust Tactics: Heavy Antitank Grenadiers – ""Jagdgrenadiere / Laser-Jagdgrenadiere""",2
expansion,"Dust Tactics: Heavy Assault Walker – ""Punisher / Fireball""",2
expansion,"Dust Tactics: Heavy Destroyer Walker – ""The Six Shooter"" / ""Bulldog""",2
expansion,"Dust Tactics: Heavy Panzer Walker – ""Königs-Luther / Sturm-König""",2
expansion,"Dust Tactics: Heavy Ranger Attack Squad –  ""Grim Reapers""",2
expansion,"Dust Tactics: Heavy Ranger Tank Hunter Squad – ""Tank Busters""",2
expansion,"Dust Tactics: Heavy Rangers Command Squad – ""Corps Officers""",2
expansion,"Dust Tactics: Horten HO-347 – ""Der Blitz"" / ""Der Adler""",2
expansion,"Dust Tactics: Horten HO-347 – ""Fledermaus III / Fledermaus IV""",2
expansion,"Dust Tactics: IS-5 Heavy Tank – ""Mao Zedong / Vladimir Lenin""",2
expansion,"Dust Tactics: IS-5C Heavy Assault Tank – ""Iosef Stalin""",2
expansion,"Dust Tactics: ISU-203 Heavy Assault Gun – ""Sergei Shtemenko""",2
expansion,Dust Tactics: Iron Joe,2
expansion,Dust Tactics: Ivan The Butcher,2
expansion,"Dust Tactics: KV-47B (TSH) Light Gun Walker – ""Natasha""",2
expansion,"Dust Tactics: KV-47D (TSH) Light Anti-Tank Walker – ""Nina""",2
expansion,"Dust Tactics: KV-47G (TSH) Light Assault Walker – ""Mikhail""",2
expansion,"Dust Tactics: KV-47K (TSH) Light Gatling Walker – ""Aleksei""",2
expansion,"Dust Tactics: KV-47K (TSH) Light Tesla Walker – ""Anatoly""",2
expansion,"Dust Tactics: KV47 Recovery & Demolition Walker – ""Maksim / Marlen / Melor / Mikhail""",2
expansion,"Dust Tactics: KV47 Walker – ""Nadya / Natalya / Natasha""",2
expansion,"Dust Tactics: Kampf Sturmgrenadieren Squad – ""Battle Grenadiers""",2
expansion,"Dust Tactics: Laser Sturmgrenadiere Squad – ""Laser Grenadiers""",2
expansion,Dust Tactics: Leutnant Sammt,2
expansion,"Dust Tactics: Light Assault Walker – ""Wildfire / Honey""",2
expansion,"Dust Tactics: Light Panzer Walker – ""Heinrich / Hermann""",2
expansion,"Dust Tactics: M1D Light Assault Walker Anti-tank – ""Bushmaster""",2
expansion,"Dust Tactics: M3A2 Medium Combat Walker ""Mickey (Light)""",2
expansion,"Dust Tactics: M3C2 Medium Combat Walker Anti-Tank – ""Pounder (Light)""",2
expansion,"Dust Tactics: M3G2 Medium Combat Walker Anti-Tank – ""Barking Dog (Light)""",2
expansion,"Dust Tactics: M7D Heavy Assault Walker – ""Devastator""",2
expansion,"Dust Tactics: MCW M3  Walker – ""Rattler / Rattler-Amp / Cobra / Cobra-Amp""",2
expansion,"Dust Tactics: MIL MI-45K – ""Air Ambulance""",2
expansion,"Dust Tactics: Maintenance Contractors – ""Justine & Co""",2
expansion,"Dust Tactics: Major Tina Baumann’s – ""Tina & Hyane""",2
expansion,"Dust Tactics: Master Sergeant Frank Stone – ""Quiet Jack""",2
expansion,"Dust Tactics: Medium Assault Walker – ""Hot Dog / Pounder / Steel Rain / Mickey""",2
expansion,"Dust Tactics: Medium Panzer Walker – ""Luther / Ludwig / Lothar""",2
expansion,"Dust Tactics: Mercenary Heavy Machine Gun Squad – ""Sisters of Mayhem""",2
expansion,Dust Tactics: Mobelwagen Ausf. B,2
expansion,"Dust Tactics: NDAK Battle Grenadier Squad – ""Sand Vipers""",2
expansion,"Dust Tactics: NDAK Command Grenadier Squad – ""Fox Cubs""",2
expansion,"Dust Tactics: NDAK Observer Squad – ""Desert Eagles""",2
expansion,"Dust Tactics: NDAK Recon Squad – ""Desert Scorpions""",2
expansion,"Dust Tactics: NDAK Security Squad – ""Tomb Cleaners""",2
expansion,"Dust Tactics: NDAK Tank-Hunter Grenadier Squad – ""African Lions""",2
expansion,"Dust Tactics: Operation ""Achilles""",2
expansion,"Dust Tactics: Operation ""Cerberus""",2
expansion,"Dust Tactics: Operation ""Cyclone""",2
expansion,"Dust Tactics: Operation ""Hades""",2
expansion,"Dust Tactics: Operation ""Icarus""",2
expansion,"Dust Tactics: Operation ""SeeLöwe""",2
expansion,"Dust Tactics: Operation ""Zverograd""",2
expansion,"Dust Tactics: Panzer-Kampfläufer III – ""Flamm-Luther / Wotan / Wotan-AR""",2
expansion,Dust Tactics: PanzerKampfLäufer  IV-F – “JagdLoki”,2
expansion,"Dust Tactics: PanzerKampfLäufer IV-E – ""JagdWotan""",2
expansion,"Dust Tactics: Panzerkampflaufer II-C (Flak) – ""Leopold (Trop)""",2
expansion,"Dust Tactics: Panzerkampfwagen IV Ausf. K – ""Panzer IV-K""",2
expansion,"Dust Tactics: Panzerkamplaufer II-F – ""Loth (Troop)""",2
expansion,"Dust Tactics: Panzerspahlaufer I-E (Light Flak) – ""Henrich (Trop)""",2
expansion,"Dust Tactics: Panzerspahlaufer I-H (Flak) – ""Luft Heinrich""",2
expansion,"Dust Tactics: Panzerspahlaufer I-K – ""Luft Hans""",2
expansion,"Dust Tactics: Panzerspähläufer I-D (Laser) – ""Hermann (Troop)""",2
expansion,Dust Tactics: Raketentruppe Battle Squad,2
expansion,"Dust Tactics: Ranger Attack Squad – ""Death Dealers""",2
expansion,"Dust Tactics: Ranger Attack Squad – ""Hell boys""",2
expansion,"Dust Tactics: Rangers Command Squad – ""The Boss""",2
expansion,"Dust Tactics: Rangers Observer Squad and Sniper Squad – ""Special Ops Rangers""",2
expansion,"Dust Tactics: Recon Rangers Squad – ""Recon Boys""",2
expansion,Dust Tactics: Red Ace & Red Star,2
expansion,"Dust Tactics: Red Guards Anti-Tank Squad – ""Red Thunder""",2
expansion,"Dust Tactics: Red Guards Assault Squad – ""Red Storm""",2
expansion,"Dust Tactics: Red Guards Command Squad – ""Red Command""",2
expansion,"Dust Tactics: SD KFZ 250/3 – ""Kommandowagen""",2
expansion,"Dust Tactics: SSU Airborne Transport – ""MIL MI-45 / Chinese Volunteers""",2
expansion,"Dust Tactics: SSU Airborne Walker Transport – ""MIL MI-46 / Nastasia / Nikita / Nina""",2
expansion,"Dust Tactics: SSU Battle Squad – ""Frontoviki""",2
expansion,"Dust Tactics: SSU Close Combat Squad – ""Fakyeli""",2
expansion,"Dust Tactics: SSU Command Squad – ""The Medvedi""",2
expansion,"Dust Tactics: SSU Commissar Squad – ""Drakoni""",2
expansion,Dust Tactics: SSU Fortification – Heavy Tesla Bunker / Strongpoint,2
expansion,"Dust Tactics: SSU Ground Attack Helicopter – ""Striker / Burner / Airblaster / Death Rain""",2
expansion,"Dust Tactics: SSU Heavy Weapons Team – ""Red Lightning / Hailstorm""",2
