type,value,n
artist,John Blanche,26
artist,Luis Francisco,26
artist,Pierô,26
designer,Corné van Moorsel,26
designer,Ludovic Maublanc,26
designer,Roberto Fraga,26
designer,Urs Hostettler,26
family,Cities: New York (New York,26
family,Country: The Netherlands,26
family,Time Travel,26
family,Traditional Card Games,26
artist,Hans-Georg Schneider,25
artist,Rick Barber,25
artist,Scott Nicely,25
designer,Cephas Howard,25
designer,Frédéric Henry,25
designer,Inka Brand,25
designer,Jervis Johnson,25
designer,Jordan Weisman,25
designer,Kevin Wilson,25
designer,Markus Brand,25
designer,Mike Selinker,25
designer,Richard Garfield,25
designer,S. Craig Taylor,25
designer,Seiji Kanai,25
expansion,Brettspiel Adventskalender 2015,25
family,Animals: Rabbits,25
artist,Brian Snoddy,24
artist,Fabio Maiorana,24
artist,Jo Hartwig,24
artist,Kinetic,24
artist,Matthias Catrein,24
artist,Michael Schacht,24
artist,Mirko Suzuki,24
artist,Nicolas Fructus,24
designer,Garrett J. Donner,24
designer,Kevin Zucker,24
designer,Michael S. Steer,24
family,Carcassonne,24
family,Country: Finland,24
family,Crowdfunding: Verkami,24
family,Crowdfunding: Wspieram,24
family,Mining,24
family,Ninja,24
family,Shedding Games,24
artist,Adam P. McIver,23
artist,Marcel-André Casasola Merkle,23
artist,Phil Foglio,23
artist,Tanja Donner,23
artist,Victor Boden,23
artist,Xavier Gueniffey Durin,23
designer,Dirk Henn,23
designer,Dominique Ehrhard,23
designer,Michael Rieneck,23
designer,Stefan Feld,23
designer,Ted Raicer,23
family,000 Wargames,23
family,Animals: Chickens,23
family,Climbing Games,23
family,LUDO,23
family,Magazine: Command,23
artist,Cathleen Quinn-Kinney,22
artist,George I. Parrish,22
artist,Knut Grünitz,22
artist,"Lars-Arne ""Maura"" Kalusky",22
artist,Néstor Romeral Andrés,22
category,Game System,22
designer,Corey Konieczka,22
designer,Jacques Zeimet,22
family,Animals: Frogs,22
family,Arctic Theme,22
family,Desert Theme,22
family,Queen Yellow Wave Box Series,22
artist,Arnaud Demaegd,21
artist,David Cochard,21
artist,Oliver Schlemmer,21
artist,Paolo Parente,21
artist,Res Brandenberger,21
artist,Wayne England,21
designer,D. Brad Talton,21
designer,Spartaco Albertarelli,21
designer,Vlaada Chvátil,21
expansion,Brettspiel Adventskalender 2016,21
family,000 Board Games,21
family,Animals: Camels,21
family,Continent: Africa,21
family,Country: Portugal,21
family,Looney Pyramids,21
family,Sports: Horse Racing,21
family,Ystari originals,21
artist,Björn Pertoft,20
artist,Christian Fiore,20
artist,Craig Grando,20
artist,Czarnè,20
artist,Eckhard Freytag,20
artist,James Ernest,20
artist,James Talbot,20
artist,Larry Elmore,20
artist,Paul Niemeyer,20
artist,Ryan Laukat,20
designer,John Astell,20
designer,Marc W. Miller,20
designer,Rick Priestley,20
designer,Thomas Lehmann,20
family,Animals: Horses,20
family,CDGs (Collectible Dice Games),20
family,Country: Mexico,20
family,Fantasy Sports,20
family,Fluxx,20
family,Magazine: Wargamer,20
family,Quined Master Print Edition Series,20
family,Robots,20
family,Standard Combat Series,20
family,The Legend of King Arthur and the Knights of the Round Table,20
family,Witches,20
family,n in a row,20
artist,Darrell Louder,19
artist,Gabriela Silveira,19
artist,Jason Engle,19
artist,Larry Hoffman,19
artist,Peggy Gordon,19
artist,Sean Cooke,19
artist,William Bricker,19
designer,Redmond A. Simonsen,19
designer,Tom Jolly,19
family,3M Bookshelf Series,19
family,Animals: Bears,19
family,Chess Games,19
family,Connection Games,19
family,Metagaming Microgames series,19
family,Sports: Baseball,19
family,TMG Originals,19
family,Victory Point Games States of Siege Series,19
artist,Alvin Madden,18
artist,François Bruel,18
artist,Gary Simpson,18
artist,Jacqui Davis,18
artist,Kwanchai Moriya,18
artist,Olivier Fagnère,18
artist,Stéphane Poinsot,18
artist,Thomas Denmark,18
artist,Tomasz Larek,18
artist,Xavier Collette,18
designer, III,18
designer,Christophe Boelinger,18
designer,David A. Powell,18
designer,Heinz Meister,18
designer,John H. Butterfield,18
designer,Larry Harris,18
designer,Paul Peterson,18
designer,Vance von Borries,18
family,Evolution,18
family,Great Battles of History,18
family,Kosmos Literature Series,18
family,Magazine: Against The Odds,18
family,Scene It?,18
family,Sports: American Football / Gridiron,18
artist,Alan Emrich,17
artist,Alex Fernandez (I),17
artist,Alexandre Roche,17
artist,Andreas Resch,17
artist,Andrew Navaro,17
artist,Fábio Fontes,17
artist,Jürgen Martens,17
artist,Rich Banner,17
artist,Stéphane Gantiez,17
designer,Bill Eberle,17
designer,Don Greenwood,17
designer,Frank Nestel,17
designer,Frédéric Bey,17
designer,Günter Cornett,17
designer,Hisashi Hayashi,17
designer,Irad B. Hardy,17
designer,Kerry Breitenstein,17
designer,Mike Fitzgerald,17
designer,Tom Wham,17
designer,Ty Bomba,17
expansion,Fluxx Dice,17
family,Alea Big Box,17
family,Animals: Elephants,17
family,Animals: Penguins,17
family,Axis & Allies,17
family,Circus,17
family,Cities: Florence,17
family,Country: Canada,17
family,Country: Vietnam,17
family,Crowdfunding: Giochistarter,17
family,Great Battles of the American Civil War,17
family,Gryphon Games bookshelf series,17
family,International Games Series,17
family,Sports: Combat Sports / Martial Arts,17
family,Winsome Essen Sets,17
artist,Anne Pätzke,16
artist,Heiko Günther,16
artist,Joachim Krause,16
artist,Mark Poole,16
artist,Markus Wagner,16
artist,Mike Lemick,16
artist,Paolo Vallerga,16
artist,Paul Bonner,16
artist,Víctor Pérez Corbella,16
designer,Brian Hersch,16
designer,Doris Matthäus,16
designer,Francesco Nepitello,16
designer,Fréderic Moyersoen,16
designer,Greg Costikyan,16
designer,Grzegorz Rejchtman,16
designer,Ignacy Trzewiczek,16
designer,Jack Kittredge,16
designer,Justin Gary,16
designer,Marcel-André Casasola Merkle,16
designer,Marco Maggi,16
designer,Peter Olotka,16
designer,Thierry Denoual,16
designer,Wolfgang Panning,16
